1950-01-01;1.5
1950-07-01;1.5
1950-08-01;1.59
1950-09-01;1.75
1952-12-01;1.75
1953-01-01;1.88
1953-02-01;2.0
1954-01-01;2.0
1954-02-01;1.79
1954-03-01;1.75
1954-04-01;1.63
1954-05-01;1.5
1955-03-01;1.5
1955-04-01;1.63
1955-05-01;1.75
1955-06-01;1.75
1955-07-01;1.75
1955-08-01;1.97
1955-09-01;2.18
1955-10-01;2.25
1955-11-01;2.36
1955-12-01;2.5
1956-03-01;2.5
1956-04-01;2.65
1956-05-01;2.75
1956-07-01;2.75
1956-08-01;2.81
1956-09-01;3.0
1957-07-01;3.0
1957-08-01;3.15
1957-09-01;3.5
1957-10-01;3.5
1957-11-01;3.23
1957-12-01;3.0
1958-01-01;2.94
1958-02-01;2.75
1958-03-01;2.35
1958-04-01;2.03
1958-05-01;1.75
1958-08-01;1.75
1958-09-01;1.91
1958-10-01;2.0
1958-11-01;2.4
1958-12-01;2.5
1959-02-01;2.5
1959-03-01;2.92
1959-04-01;3.0
1959-05-01;3.05
1959-06-01;3.5
1959-08-01;3.5
1959-09-01;3.83
1959-10-01;4.0
1960-05-01;4.0
1960-06-01;3.65
1960-07-01;3.5
1960-08-01;3.18
1960-09-01;3.0
1963-06-01;3.0
1963-07-01;3.24
1963-08-01;3.5
1964-10-01;3.5
1964-11-01;3.62
1964-12-01;4.0
1965-11-01;4.0
1965-12-01;4.42
1966-01-01;4.5
1967-03-01;4.5
1967-04-01;4.1
1967-05-01;4.0
1967-10-01;4.0
1967-11-01;4.18
1967-12-01;4.5
1968-02-01;4.5
1968-03-01;4.66
1968-04-01;5.2
1968-05-01;5.5
1968-07-01;5.5
1968-08-01;5.48
1968-09-01;5.25
1968-11-01;5.25
1968-12-01;5.36
1969-01-01;5.5
1969-03-01;5.5
1969-04-01;5.95
1969-05-01;6.0
1970-10-01;6.0
1970-11-01;5.85
1970-12-01;5.52
1971-01-01;5.23
1971-02-01;4.91
1971-03-01;4.75
1971-06-01;4.75
1971-07-01;4.88
1971-08-01;5.0
1971-10-01;5.0
1971-11-01;4.9
1971-12-01;4.63
1972-01-01;4.5
1972-12-01;4.5
